Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/CRM,2012-07-31 00:00:00.000,126.16,123.64,128.22,124.36
EOD/CRM,2012-07-30 00:00:00.000,131.57,125.03,131.57,125.87
EOD/CRM,2012-07-27 00:00:00.000,125.36,125.36,133.39,131.49
EOD/CRM,2012-07-26 00:00:00.000,128.36,122.89,130.75,124.61
EOD/CRM,2012-07-25 00:00:00.000,128.01,125.1118,129.13,125.32
EOD/CRM,2012-07-24 00:00:00.000,130.8,125.55,131.1199,126.72
EOD/CRM,2012-07-23 00:00:00.000,132.18,128.89,132.72,131
EOD/CRM,2012-07-20 00:00:00.000,138.02,134.51,138.02,135.16
EOD/CRM,2012-07-19 00:00:00.000,135.74,135.4,140.83,139.11
EOD/CRM,2012-07-18 00:00:00.000,130.34,129.4,136.4582,134.9
EOD/CRM,2012-07-17 00:00:00.000,128.92,125.1,129.9,126.78
EOD/CRM,2012-07-16 00:00:00.000,129.95,127.44,130.79,127.99
EOD/CRM,2012-07-13 00:00:00.000,128.24,127.99,131,130.55
EOD/CRM,2012-07-12 00:00:00.000,127.98,124.811,128.99,127.54
EOD/CRM,2012-07-11 00:00:00.000,129.99,125.29,130.42,126.91
EOD/CRM,2012-07-10 00:00:00.000,132.62,128,133.67,128.87
EOD/CRM,2012-07-09 00:00:00.000,135.84,130.6,136.7,131.3
EOD/CRM,2012-07-06 00:00:00.000,139.61,133.48,139.61,135.75
EOD/CRM,2012-07-05 00:00:00.000,140.95,140,143.84,142.42
EOD/CRM,2012-07-03 00:00:00.000,138.86,138.52,142.56,141.35
EOD/CRM,2012-07-02 00:00:00.000,136.91,135.93,139.24,139.07
EOD/CRM,2012-06-29 00:00:00.000,135.34,135.155,138.31,138.26
EOD/CRM,2012-06-28 00:00:00.000,135,129.6501,135.42,131.78
EOD/CRM,2012-06-27 00:00:00.000,134.98,134.37,137.3,135.72
EOD/CRM,2012-06-26 00:00:00.000,134.73,134,136.6682,135.33
EOD/CRM,2012-06-25 00:00:00.000,135.21,132.69,135.45,134.16
EOD/CRM,2012-06-22 00:00:00.000,133.14,133.1,137.25,137.11
EOD/CRM,2012-06-21 00:00:00.000,135.34,132.67,137.75,132.77
EOD/CRM,2012-06-20 00:00:00.000,138.72,136.19,139.23,137.75
EOD/CRM,2012-06-19 00:00:00.000,138.32,136.541,142.47,138.01
EOD/CRM,2012-06-18 00:00:00.000,131.32,130.14,137.74,136.8
EOD/CRM,2012-06-15 00:00:00.000,129.82,128.56,135.07,134.56
EOD/CRM,2012-06-14 00:00:00.000,127.29,125.25,129.6298,129.36
EOD/CRM,2012-06-13 00:00:00.000,130.27,126.56,130.38,127.33
EOD/CRM,2012-06-12 00:00:00.000,131.69,126.95,131.69,130.58
EOD/CRM,2012-06-11 00:00:00.000,137.33,130.38,137.5,130.46
EOD/CRM,2012-06-08 00:00:00.000,135.32,131.4,136.63,136.49
EOD/CRM,2012-06-07 00:00:00.000,138.32,135.26,138.6,135.56
EOD/CRM,2012-06-06 00:00:00.000,134.33,133.2,137.73,136.98
EOD/CRM,2012-06-05 00:00:00.000,130.74,129.802,135.25,133.74
EOD/CRM,2012-06-04 00:00:00.000,130.13,126.32,132.19,131.22
EOD/CRM,2012-06-01 00:00:00.000,134.24,130.6,134.35,130.99
EOD/CRM,2012-05-31 00:00:00.000,138.24,135.152,140.54,138.62
EOD/CRM,2012-05-30 00:00:00.000,142.35,139.5,142.97,140.95
EOD/CRM,2012-05-29 00:00:00.000,146.96,143.2,148.72,145.69
EOD/CRM,2012-05-25 00:00:00.000,147.14,146.2,150,147
EOD/CRM,2012-05-24 00:00:00.000,149.2,145.0009,150.24,146.21
EOD/CRM,2012-05-23 00:00:00.000,147.03,145.56,150.95,150.61
EOD/CRM,2012-05-22 00:00:00.000,148.18,147,151.91,149.45
EOD/CRM,2012-05-21 00:00:00.000,144.12,140.32,149.53,149.05
EOD/CRM,2012-05-18 00:00:00.000,143.43,143,148.95,145.58
EOD/CRM,2012-05-17 00:00:00.000,136.96,132.11,138.982,133.8
EOD/CRM,2012-05-16 00:00:00.000,139.48,134.07,139.74,136.58
EOD/CRM,2012-05-15 00:00:00.000,138.31,137.55,139.99,138.1
EOD/CRM,2012-05-14 00:00:00.000,136.18,135.2,138.6299,136.55
EOD/CRM,2012-05-11 00:00:00.000,135.1,134.71,140.27,137.78
EOD/CRM,2012-05-10 00:00:00.000,149.37,134.37,149.8,135.44
EOD/CRM,2012-05-09 00:00:00.000,144.31,144.0401,150.22,148.98
EOD/CRM,2012-05-08 00:00:00.000,150.6,142.06,150.88,146.02
EOD/CRM,2012-05-07 00:00:00.000,151.79,150.74,153.7,151.83
EOD/CRM,2012-05-04 00:00:00.000,157.2,152.28,157.2,152.59
EOD/CRM,2012-05-03 00:00:00.000,160.27,157.31,163.5,157.52
EOD/CRM,2012-05-02 00:00:00.000,155.96,155.52,159.5,158.94
EOD/CRM,2012-05-01 00:00:00.000,156.15,154.972,159.38,156.88
EOD/CRM,2012-04-30 00:00:00.000,156.09,154.79,157.13,155.73
EOD/CRM,2012-04-27 00:00:00.000,156.47,154.63,158.88,156.66
EOD/CRM,2012-04-26 00:00:00.000,151,151,156.35,156.2
EOD/CRM,2012-04-25 00:00:00.000,150.5,147.77,152,150.7
EOD/CRM,2012-04-24 00:00:00.000,154.57,147.5,154.77,149.98
EOD/CRM,2012-04-23 00:00:00.000,154.2,150.66,155.84,155
EOD/CRM,2012-04-20 00:00:00.000,160.07,156.83,161.1,156.9
EOD/CRM,2012-04-19 00:00:00.000,159.13,157.8,164.75,159.57
EOD/CRM,2012-04-18 00:00:00.000,155.19,154.78,159.58,158.64
EOD/CRM,2012-04-17 00:00:00.000,155.45,153.91,156.81,156.17
EOD/CRM,2012-04-16 00:00:00.000,160.77,154.25,161.5,154.93
EOD/CRM,2012-04-13 00:00:00.000,157.99,157.18,161.89,159.37
EOD/CRM,2012-04-12 00:00:00.000,157.79,156.39,158.69,158.3
EOD/CRM,2012-04-11 00:00:00.000,152.34,152.34,158.57,158.08
EOD/CRM,2012-04-10 00:00:00.000,157.74,152.965,159,153.73
EOD/CRM,2012-04-09 00:00:00.000,153.53,153.005,157.9,157.52
EOD/CRM,2012-04-05 00:00:00.000,156.01,154.43,157.62,157.04
EOD/CRM,2012-04-04 00:00:00.000,157.02,152.96,157.02,155.68
EOD/CRM,2012-04-03 00:00:00.000,156.6,156.4301,159.01,158.32
EOD/CRM,2012-04-02 00:00:00.000,152.89,152.56,158.45,157.18
EOD/CRM,2012-03-30 00:00:00.000,156.73,152.9,156.98,154.51
EOD/CRM,2012-03-29 00:00:00.000,153.01,152.17,157.43,156.41
EOD/CRM,2012-03-28 00:00:00.000,153.95,151.67,155.7099,154.06
EOD/CRM,2012-03-27 00:00:00.000,156.68,153.39,157.18,153.5
EOD/CRM,2012-03-26 00:00:00.000,154.8,154.15,157.56,157.34
EOD/CRM,2012-03-23 00:00:00.000,152.89,152.3,154.64,153.9
EOD/CRM,2012-03-22 00:00:00.000,152.83,151.8,153.9,152.84
EOD/CRM,2012-03-21 00:00:00.000,152.43,151.62,156.05,154.37
EOD/CRM,2012-03-20 00:00:00.000,149.25,147.29,151.3,150.99
EOD/CRM,2012-03-19 00:00:00.000,151.48,148.68,151.53,149.94
EOD/CRM,2012-03-16 00:00:00.000,153.6,150.22,153.86,151.39
EOD/CRM,2012-03-15 00:00:00.000,151.97,151,154.44,152.43
EOD/CRM,2012-03-14 00:00:00.000,151.87,149.61,152.36,151.61
EOD/CRM,2012-03-13 00:00:00.000,147.99,147.81,152.87,152.26
EOD/CRM,2012-03-12 00:00:00.000,147.13,145.51,148,147.17
EOD/CRM,2012-03-09 00:00:00.000,146.08,145.63,148,147.43
EOD/CRM,2012-03-08 00:00:00.000,144.01,143.92,147.5,146.08
EOD/CRM,2012-03-07 00:00:00.000,141.34,141.12,144,143.46
EOD/CRM,2012-03-06 00:00:00.000,139.8,138.34,141.38,140.69
EOD/CRM,2012-03-05 00:00:00.000,143.4099,140.21,143.42,142.08
EOD/CRM,2012-03-02 00:00:00.000,143.99,143.51,146,143.79
EOD/CRM,2012-03-01 00:00:00.000,143.98,142.02,145.59,144.98
EOD/CRM,2012-02-29 00:00:00.000,142.95,142.17,145,143.16
EOD/CRM,2012-02-28 00:00:00.000,141,141,143.5,143.46
EOD/CRM,2012-02-27 00:00:00.000,140.73,140.01,144.29,143.35
EOD/CRM,2012-02-24 00:00:00.000,145.54,139.75,146.26,143.64
EOD/CRM,2012-02-23 00:00:00.000,128,127.05,132,131.77
EOD/CRM,2012-02-22 00:00:00.000,129.02,127.735,129.8,128.07
EOD/CRM,2012-02-21 00:00:00.000,130.55,126.77,130.95,127.61
EOD/CRM,2012-02-17 00:00:00.000,132.45,129.14,133,129.17
EOD/CRM,2012-02-16 00:00:00.000,131.08,128.88,132,131.75
EOD/CRM,2012-02-15 00:00:00.000,132.31,129.931,133.53,130.62
EOD/CRM,2012-02-14 00:00:00.000,132.15,129.9,134.73,131.6
EOD/CRM,2012-02-13 00:00:00.000,129.8,129.4,133.33,132.23
EOD/CRM,2012-02-10 00:00:00.000,128.11,126.92,130.1,128.44
EOD/CRM,2012-02-09 00:00:00.000,123.42,123.13,127.7,125.61
EOD/CRM,2012-02-08 00:00:00.000,123.32,120.87,123.94,123.8
EOD/CRM,2012-02-07 00:00:00.000,122.84,121.82,123.9,122.8
EOD/CRM,2012-02-06 00:00:00.000,123.21,122.4,124.65,123.23
EOD/CRM,2012-02-03 00:00:00.000,119.34,119.34,124.79,124.1
EOD/CRM,2012-02-02 00:00:00.000,118.95,117.05,120.45,118.28
EOD/CRM,2012-02-01 00:00:00.000,117.35,115.62,119.99,119.32
EOD/CRM,2012-01-31 00:00:00.000,117.08,114.65,117.36,116.8
EOD/CRM,2012-01-30 00:00:00.000,115.72,114.52,117.35,115.57
EOD/CRM,2012-01-27 00:00:00.000,115.25,114.81,118.08,116.6
EOD/CRM,2012-01-26 00:00:00.000,119.4,115.54,119.97,116.22
EOD/CRM,2012-01-25 00:00:00.000,118.64,115.831,118.64,118.14
EOD/CRM,2012-01-24 00:00:00.000,114.87,114.61,117.83,117.53
EOD/CRM,2012-01-23 00:00:00.000,114.22,113.09,117.1,114.75
EOD/CRM,2012-01-20 00:00:00.000,113.47,112.6,115.29,114.19
EOD/CRM,2012-01-19 00:00:00.000,111.35,111.35,115.88,114.51
EOD/CRM,2012-01-18 00:00:00.000,103.39,102.27,108.26,107.7
EOD/CRM,2012-01-17 00:00:00.000,104.2301,102.88,105.99,103.44
EOD/CRM,2012-01-13 00:00:00.000,104.6,102.67,104.86,103.9
EOD/CRM,2012-01-12 00:00:00.000,105.59,104.5,106.39,105.68
EOD/CRM,2012-01-11 00:00:00.000,105.48,105.01,107.7,105.82
EOD/CRM,2012-01-10 00:00:00.000,102.78,101.66,104.81,104.79
EOD/CRM,2012-01-09 00:00:00.000,100.82,99.53,101.84,100.75
EOD/CRM,2012-01-06 00:00:00.000,98.98,96.85,101.25,101.06
EOD/CRM,2012-01-05 00:00:00.000,96.94,95.16,99.95,98.77
EOD/CRM,2012-01-04 00:00:00.000,98.99,96.28,99.5,97.48
EOD/CRM,2012-01-03 00:00:00.000,104.18,100.9,106.045,101.2
EOD/CRM,2011-12-30 00:00:00.000,102.06,101.3,103.1,101.46
EOD/CRM,2011-12-29 00:00:00.000,100.11,99.52,102.44,102.19
EOD/CRM,2011-12-28 00:00:00.000,100,98.74,100.95,100.13
EOD/CRM,2011-12-27 00:00:00.000,97.96,97.96,101.79,100.29
EOD/CRM,2011-12-23 00:00:00.000,100.19,97.38,101.05,98.02
EOD/CRM,2011-12-22 00:00:00.000,99.48,96.05,100.94,100.34
EOD/CRM,2011-12-21 00:00:00.000,99.65,94.09,99.99,99.03
