Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/GOOG,2015-06-09 00:00:00.000,527.56,523.01,529.2,526.69
EOD/GOOG,2015-06-08 00:00:00.000,533.31,526.24,534.12,526.83
EOD/GOOG,2015-06-05 00:00:00.000,536.35,532.52,537.2,533.33
EOD/GOOG,2015-06-04 00:00:00.000,537.76,534.32,540.59,536.7
EOD/GOOG,2015-06-03 00:00:00.000,539.91,537.11,543.5,540.31
EOD/GOOG,2015-06-02 00:00:00.000,532.93,531.33,543,539.18
EOD/GOOG,2015-06-01 00:00:00.000,536.79,529.76,536.79,533.99
EOD/GOOG,2015-05-29 00:00:00.000,537.37,531.45,538.63,532.11
EOD/GOOG,2015-05-28 00:00:00.000,538.01,536.25,540.61,539.78
EOD/GOOG,2015-05-27 00:00:00.000,532.8,531.71,540.55,539.79
EOD/GOOG,2015-05-26 00:00:00.000,538.12,529.88,539,532.32
EOD/GOOG,2015-05-22 00:00:00.000,540.15,539.51,544.19,540.11
EOD/GOOG,2015-05-21 00:00:00.000,537.95,535.98,543.8399,542.51
EOD/GOOG,2015-05-20 00:00:00.000,538.49,532.972,542.92,539.27
EOD/GOOG,2015-05-19 00:00:00.000,533.98,533.04,540.66,537.36
EOD/GOOG,2015-05-18 00:00:00.000,532.01,528.85,534.82,532.3
EOD/GOOG,2015-05-15 00:00:00.000,539.18,530.38,539.2743,533.85
EOD/GOOG,2015-05-14 00:00:00.000,533.77,532.41,539,538.4
EOD/GOOG,2015-05-13 00:00:00.000,530.56,528.655,534.3215,529.62
EOD/GOOG,2015-05-12 00:00:00.000,531.6,525.26,533.2089,529.04
EOD/GOOG,2015-05-11 00:00:00.000,538.37,535.4,541.98,535.7
EOD/GOOG,2015-05-08 00:00:00.000,536.65,536,541.15,538.22
EOD/GOOG,2015-05-07 00:00:00.000,523.99,521.75,533.46,530.7
EOD/GOOG,2015-05-06 00:00:00.000,531.24,521.085,532.38,524.22
EOD/GOOG,2015-05-05 00:00:00.000,538.21,530.3906,539.74,530.8
EOD/GOOG,2015-05-04 00:00:00.000,538.53,535.06,544.07,540.78
EOD/GOOG,2015-05-01 00:00:00.000,538.43,532.1,539.54,537.9
EOD/GOOG,2015-04-30 00:00:00.000,547.87,535.05,548.59,537.34
EOD/GOOG,2015-04-29 00:00:00.000,550.47,546.905,553.68,549.08
EOD/GOOG,2015-04-28 00:00:00.000,554.64,550.366,556.02,553.68
EOD/GOOG,2015-04-27 00:00:00.000,563.39,553.2001,565.95,555.37
EOD/GOOG,2015-04-24 00:00:00.000,566.1,557.25,571.14,565.06
EOD/GOOG,2015-04-23 00:00:00.000,541,540.23,550.96,547
EOD/GOOG,2015-04-22 00:00:00.000,534.4,531.75,541.08,539.365
EOD/GOOG,2015-04-21 00:00:00.000,537.51,533.675,539.39,533.97
EOD/GOOG,2015-04-20 00:00:00.000,525.6,524.5,536.09,535.38
EOD/GOOG,2015-04-17 00:00:00.000,528.66,521.01,529.84,524.05
EOD/GOOG,2015-04-16 00:00:00.000,529.9,529.61,535.59,533.8
EOD/GOOG,2015-04-15 00:00:00.000,528.7,523.22,534.73,532.53
EOD/GOOG,2015-04-14 00:00:00.000,536.25,528.0925,537.5699,530.39
EOD/GOOG,2015-04-13 00:00:00.000,538.41,537.31,544.06,539.17
EOD/GOOG,2015-04-10 00:00:00.000,542.29,537.31,542.29,540.01
EOD/GOOG,2015-04-09 00:00:00.000,541.03,535.49,541.95,540.78
EOD/GOOG,2015-04-08 00:00:00.000,538.38,538.38,543.85,541.61
EOD/GOOG,2015-04-07 00:00:00.000,538.08,536,542.69,537.02
EOD/GOOG,2015-04-06 00:00:00.000,532.22,529.57,538.41,536.765
EOD/GOOG,2015-04-02 00:00:00.000,540.85,533.8467,540.85,535.53
EOD/GOOG,2015-04-01 00:00:00.000,548.6,539.5,551.14,542.56
EOD/GOOG,2015-03-31 00:00:00.000,550,546.72,554.71,548
EOD/GOOG,2015-03-30 00:00:00.000,551.62,548.17,553.47,552.03
EOD/GOOG,2015-03-27 00:00:00.000,553,548.13,555.28,548.34
EOD/GOOG,2015-03-26 00:00:00.000,557.59,550.65,558.9,555.17
EOD/GOOG,2015-03-25 00:00:00.000,570.5,558.74,572.26,558.785
EOD/GOOG,2015-03-24 00:00:00.000,562.56,561.21,574.59,570.19
EOD/GOOG,2015-03-23 00:00:00.000,560.43,555.83,562.36,558.81
EOD/GOOG,2015-03-20 00:00:00.000,561.65,559.05,561.72,560.36
EOD/GOOG,2015-03-19 00:00:00.000,559.39,556.145,560.8,557.99
EOD/GOOG,2015-03-18 00:00:00.000,552.5,547.0001,559.78,559.5
EOD/GOOG,2015-03-17 00:00:00.000,551.71,548,553.8,550.84
EOD/GOOG,2015-03-16 00:00:00.000,550.95,546,556.85,554.51
EOD/GOOG,2015-03-13 00:00:00.000,553.5,544.22,558.4,547.32
EOD/GOOG,2015-03-12 00:00:00.000,553.51,550.46,556.37,555.51
EOD/GOOG,2015-03-11 00:00:00.000,555.14,550.68,558.14,551.18
EOD/GOOG,2015-03-10 00:00:00.000,564.25,554.73,564.85,555.01
EOD/GOOG,2015-03-09 00:00:00.000,566.86,563.535,570.27,568.85
EOD/GOOG,2015-03-06 00:00:00.000,574.88,566.76,576.6799,567.685
EOD/GOOG,2015-03-05 00:00:00.000,575.02,573.41,577.91,575.33
EOD/GOOG,2015-03-04 00:00:00.000,571.87,568.01,577.11,573.37
EOD/GOOG,2015-03-03 00:00:00.000,570.45,566.52,575.39,573.64
EOD/GOOG,2015-03-02 00:00:00.000,560.53,558.75,572.15,571.34
EOD/GOOG,2015-02-27 00:00:00.000,554.24,552.9,564.71,558.4
EOD/GOOG,2015-02-26 00:00:00.000,543.21,541.5,556.14,555.48
EOD/GOOG,2015-02-25 00:00:00.000,535.9,535.445,546.22,543.87
EOD/GOOG,2015-02-24 00:00:00.000,530,528.25,536.79,536.09
EOD/GOOG,2015-02-23 00:00:00.000,536.05,529.41,536.439,531.91
EOD/GOOG,2015-02-20 00:00:00.000,543.13,535.8,543.75,538.95
EOD/GOOG,2015-02-19 00:00:00.000,538.04,538.01,543.11,542.87
EOD/GOOG,2015-02-18 00:00:00.000,541.4,537.51,545.49,539.7
EOD/GOOG,2015-02-17 00:00:00.000,546.83,541.09,550,542.84
EOD/GOOG,2015-02-13 00:00:00.000,543.35,543.13,549.91,549.01
EOD/GOOG,2015-02-12 00:00:00.000,537.25,534.673,544.82,542.93
EOD/GOOG,2015-02-11 00:00:00.000,535.3,533.3775,538.45,535.97
EOD/GOOG,2015-02-10 00:00:00.000,529.3,526.92,537.7,536.94
EOD/GOOG,2015-02-09 00:00:00.000,528,526.02,532,527.83
EOD/GOOG,2015-02-06 00:00:00.000,527.64,526.41,537.2,531
EOD/GOOG,2015-02-05 00:00:00.000,523.79,522.09,528.5,527.58
EOD/GOOG,2015-02-04 00:00:00.000,529.24,521.27,532.6715,522.76
EOD/GOOG,2015-02-03 00:00:00.000,528,523.26,533.4,529.24
EOD/GOOG,2015-02-02 00:00:00.000,531.73,518.55,533,528.48
EOD/GOOG,2015-01-30 00:00:00.000,515.86,515.52,539.87,534.52
EOD/GOOG,2015-01-29 00:00:00.000,511,501.2,511.09,510.66
EOD/GOOG,2015-01-28 00:00:00.000,522.78,510,522.99,510
EOD/GOOG,2015-01-27 00:00:00.000,529.97,518.19,530.7,518.63
EOD/GOOG,2015-01-26 00:00:00.000,538.53,529.67,539,535.21
EOD/GOOG,2015-01-23 00:00:00.000,535.59,533,542.17,539.95
EOD/GOOG,2015-01-22 00:00:00.000,521.48,519.7,536.33,534.39
EOD/GOOG,2015-01-21 00:00:00.000,507.25,506.2,519.28,518.04
EOD/GOOG,2015-01-20 00:00:00.000,511,506.016,512.5,506.9
EOD/GOOG,2015-01-16 00:00:00.000,500.01,500,508.19,508.08
EOD/GOOG,2015-01-15 00:00:00.000,505.57,497.76,505.68,501.79
EOD/GOOG,2015-01-14 00:00:00.000,494.65,493,503.23,500.87
EOD/GOOG,2015-01-13 00:00:00.000,498.84,492.39,502.98,496.18
EOD/GOOG,2015-01-12 00:00:00.000,494.94,487.56,495.976,492.55
EOD/GOOG,2015-01-09 00:00:00.000,504.76,494.79,504.92,496.17
EOD/GOOG,2015-01-08 00:00:00.000,497.99,491,503.48,502.68
EOD/GOOG,2015-01-07 00:00:00.000,507,499.65,507.244,501.1
EOD/GOOG,2015-01-06 00:00:00.000,515,501.05,516.175,501.96
EOD/GOOG,2015-01-05 00:00:00.000,523.26,513.06,524.33,513.87
EOD/GOOG,2015-01-02 00:00:00.000,529.01,524.1,531.27,524.81
EOD/GOOG,2014-12-31 00:00:00.000,531.25,525.8,532.6,526.4
EOD/GOOG,2014-12-30 00:00:00.000,528.09,527.13,531.15,530.42
