Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/IBM,2009-11-30 00:00:00.000,125.12,124.92,126.6,126.35
EOD/IBM,2009-11-27 00:00:00.000,124.59,124.26,126.62,125.7
EOD/IBM,2009-11-25 00:00:00.000,127.88,127.08,128.22,127.28
EOD/IBM,2009-11-24 00:00:00.000,127.9,127.14,128.32,127.93
EOD/IBM,2009-11-23 00:00:00.000,127.7,127.65,128.94,128.2
EOD/IBM,2009-11-20 00:00:00.000,127.17,126.46,127.69,126.96
EOD/IBM,2009-11-19 00:00:00.000,127.28,126.51,127.84,127.54
EOD/IBM,2009-11-18 00:00:00.000,128.05,127.55,128.35,128.15
EOD/IBM,2009-11-17 00:00:00.000,127.43,127.4,128.655,128.63
EOD/IBM,2009-11-16 00:00:00.000,127.17,127.03,128.24,128.21
EOD/IBM,2009-11-13 00:00:00.000,126.41,126.27,127.8,127.03
EOD/IBM,2009-11-12 00:00:00.000,126.61,126.11,127.65,126.26
EOD/IBM,2009-11-11 00:00:00.000,126.55,125.94,127.3,127.19
EOD/IBM,2009-11-10 00:00:00.000,125.3,125.17,127.05,126.91
EOD/IBM,2009-11-09 00:00:00.000,123.92,123.49,126,126
EOD/IBM,2009-11-06 00:00:00.000,122.51,122.23,123.49,123.49
EOD/IBM,2009-11-05 00:00:00.000,122.12,122,123.5,122.55
EOD/IBM,2009-11-04 00:00:00.000,121.46,121.16,122.5,121.29
EOD/IBM,2009-11-03 00:00:00.000,119.53,119.53,121.19,121.16
EOD/IBM,2009-11-02 00:00:00.000,120.61,119.5,121.93,120.56
EOD/IBM,2009-10-30 00:00:00.000,122.63,120.48,124.3,120.61
EOD/IBM,2009-10-29 00:00:00.000,122.15,121.6,123.03,122.87
EOD/IBM,2009-10-28 00:00:00.000,120.47,119.87,121.68,121.5
EOD/IBM,2009-10-27 00:00:00.000,120.18,119.15,122.14,120.65
EOD/IBM,2009-10-26 00:00:00.000,120.61,119.55,122.44,120.11
EOD/IBM,2009-10-23 00:00:00.000,122.95,120,123.06,120.36
EOD/IBM,2009-10-22 00:00:00.000,120.75,120.34,123,122.69
EOD/IBM,2009-10-21 00:00:00.000,122.18,120.86,124.11,120.87
EOD/IBM,2009-10-20 00:00:00.000,123.36,121.5,123.5,122.82
EOD/IBM,2009-10-19 00:00:00.000,121.76,121.61,123.36,123.06
EOD/IBM,2009-10-16 00:00:00.000,123.15,121.25,123.7,121.64
EOD/IBM,2009-10-15 00:00:00.000,127.56,126.32,128,127.98
EOD/IBM,2009-10-14 00:00:00.000,127.71,126.6,128.61,128.35
EOD/IBM,2009-10-13 00:00:00.000,126.22,126.2,127.39,127.02
EOD/IBM,2009-10-12 00:00:00.000,125.44,125.2,127.1,127.04
EOD/IBM,2009-10-09 00:00:00.000,122.43,122.3,126,125.93
EOD/IBM,2009-10-08 00:00:00.000,122.52,121.85,122.98,122.29
EOD/IBM,2009-10-07 00:00:00.000,121.12,120.94,122.85,122.78
EOD/IBM,2009-10-06 00:00:00.000,120.39,120.22,121.59,121.35
EOD/IBM,2009-10-05 00:00:00.000,118.9,118.13,120.18,119.75
EOD/IBM,2009-10-02 00:00:00.000,117.4,117.26,119.66,119.02
EOD/IBM,2009-10-01 00:00:00.000,119.39,117.56,119.61,117.9
EOD/IBM,2009-09-30 00:00:00.000,119.18,117.55,120,119.61
EOD/IBM,2009-09-29 00:00:00.000,119.36,118.6,119.94,118.81
EOD/IBM,2009-09-28 00:00:00.000,120.52,118.94,122,119.33
EOD/IBM,2009-09-25 00:00:00.000,120.27,120.1,121.65,121.08
EOD/IBM,2009-09-24 00:00:00.000,120.69,120.4,121.65,120.94
EOD/IBM,2009-09-23 00:00:00.000,121.26,120.71,122.74,120.82
EOD/IBM,2009-09-22 00:00:00.000,122.09,120.98,122.11,121.61
EOD/IBM,2009-09-21 00:00:00.000,121.03,120.88,122.08,121.57
EOD/IBM,2009-09-18 00:00:00.000,122.45,121.62,122.88,122.11
EOD/IBM,2009-09-17 00:00:00.000,121.14,121.05,122.78,121.88
EOD/IBM,2009-09-16 00:00:00.000,119.5,119.3,122,121.82
EOD/IBM,2009-09-15 00:00:00.000,118.78,118.16,119.45,119.35
EOD/IBM,2009-09-14 00:00:00.000,117,116.94,118.99,118.88
EOD/IBM,2009-09-11 00:00:00.000,117.8,117.47,119.25,118.05
EOD/IBM,2009-09-10 00:00:00.000,116.99,116.75,117.83,117.67
EOD/IBM,2009-09-09 00:00:00.000,117.03,116.16,117.67,116.76
EOD/IBM,2009-09-08 00:00:00.000,117.94,116.63,118.17,117.16
EOD/IBM,2009-09-04 00:00:00.000,116.58,116.21,117.5,117.46
EOD/IBM,2009-09-03 00:00:00.000,116.55,115.15,116.73,116.33
EOD/IBM,2009-09-02 00:00:00.000,116.34,116,117.24,116.09
EOD/IBM,2009-09-01 00:00:00.000,117.67,116.5,118.93,116.69
EOD/IBM,2009-08-31 00:00:00.000,117.1,116.92,118.06,118.05
EOD/IBM,2009-08-28 00:00:00.000,120.1,117.77,120.23,118.22
EOD/IBM,2009-08-27 00:00:00.000,118.73,117.85,119.59,119.43
EOD/IBM,2009-08-26 00:00:00.000,118.64,117.51,119.85,119.47
EOD/IBM,2009-08-25 00:00:00.000,119.25,118.71,120.15,118.83
EOD/IBM,2009-08-24 00:00:00.000,119.92,119.1,120.88,119.32
EOD/IBM,2009-08-21 00:00:00.000,119.65,118.55,120.01,119.9
EOD/IBM,2009-08-20 00:00:00.000,118.44,118.1,119.41,118.95
EOD/IBM,2009-08-19 00:00:00.000,116.36,116.12,118.77,118.57
EOD/IBM,2009-08-18 00:00:00.000,116.81,116.73,118,117.63
EOD/IBM,2009-08-17 00:00:00.000,116.69,116.21,117.44,116.86
EOD/IBM,2009-08-14 00:00:00.000,119.29,117.62,119.74,118.57
EOD/IBM,2009-08-13 00:00:00.000,119.28,118.63,119.78,119.58
EOD/IBM,2009-08-12 00:00:00.000,117.6,117.42,119.96,119.29
EOD/IBM,2009-08-11 00:00:00.000,118.03,117.32,118.5,117.79
EOD/IBM,2009-08-10 00:00:00.000,118.17,117.97,119.19,118.7
EOD/IBM,2009-08-07 00:00:00.000,118.11,118.11,119.91,119.33
EOD/IBM,2009-08-06 00:00:00.000,118.31,116.7,118.4,117.38
EOD/IBM,2009-08-05 00:00:00.000,118.515,117.86,119,117.92
EOD/IBM,2009-08-04 00:00:00.000,119.17,119.02,119.8,119.6
EOD/IBM,2009-08-03 00:00:00.000,118.88,118.69,119.96,119.92
EOD/IBM,2009-07-31 00:00:00.000,117.56,117.56,118.99,117.93
EOD/IBM,2009-07-30 00:00:00.000,118,117.67,119.37,117.86
EOD/IBM,2009-07-29 00:00:00.000,116.36,116.05,117.28,117.26
EOD/IBM,2009-07-28 00:00:00.000,116.63,116.34,117.52,117.28
EOD/IBM,2009-07-27 00:00:00.000,116.95,116.57,117.92,117.63
EOD/IBM,2009-07-24 00:00:00.000,116.68,116.63,118.15,117.64
EOD/IBM,2009-07-23 00:00:00.000,115.06,115.06,118,117.06
EOD/IBM,2009-07-22 00:00:00.000,116.18,115.09,117.2,115.57
EOD/IBM,2009-07-21 00:00:00.000,115.87,115.38,117.04,117.04
EOD/IBM,2009-07-20 00:00:00.000,114.53,114.39,116.88,116.44
EOD/IBM,2009-07-17 00:00:00.000,113.41,113.16,115.53,115.42
EOD/IBM,2009-07-16 00:00:00.000,106.84,106.79,110.97,110.64
EOD/IBM,2009-07-15 00:00:00.000,104.75,104.6,107.22,107.22
EOD/IBM,2009-07-14 00:00:00.000,103.42,102.52,103.62,103.25
EOD/IBM,2009-07-13 00:00:00.000,101.28,100.19,103.65,103.62
EOD/IBM,2009-07-10 00:00:00.000,100.97,99.8,101.72,100.83
EOD/IBM,2009-07-09 00:00:00.000,101.12,100.85,102.78,102.08
EOD/IBM,2009-07-08 00:00:00.000,100.29,99.5,101.17,100.68
EOD/IBM,2009-07-07 00:00:00.000,101.34,100.03,101.96,100.19
EOD/IBM,2009-07-06 00:00:00.000,101.57,100.47,102.23,101.65
EOD/IBM,2009-07-02 00:00:00.000,103.8,101.73,103.91,101.73
EOD/IBM,2009-07-01 00:00:00.000,105,104.73,106.27,104.84
EOD/IBM,2009-06-30 00:00:00.000,105.69,103.81,106.03,104.42
EOD/IBM,2009-06-29 00:00:00.000,105.99,105.16,106.18,105.83
EOD/IBM,2009-06-26 00:00:00.000,106.5,105.05,106.5,105.68
EOD/IBM,2009-06-25 00:00:00.000,103.7,103.51,106.785,106.06
EOD/IBM,2009-06-24 00:00:00.000,105.39,103.72,106.48,104.15
EOD/IBM,2009-06-23 00:00:00.000,104.75,103.79,104.87,104.44
EOD/IBM,2009-06-22 00:00:00.000,105.18,104.23,105.88,104.52
