Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/CAT,2008-04-08 00:00:00.000,76.85,76.47,77.92,77.59
EOD/CAT,2008-04-07 00:00:00.000,78.03,76.97,78.45,77.25
EOD/CAT,2008-04-04 00:00:00.000,76.86,76.85,78.57,77.83
EOD/CAT,2008-04-03 00:00:00.000,78.19,76.78,78.36,77.07
EOD/CAT,2008-04-02 00:00:00.000,79.89,78.09,79.98,78.51
EOD/CAT,2008-04-01 00:00:00.000,78.89,78.79,79.99,79.98
EOD/CAT,2008-03-31 00:00:00.000,77.09,77,78.63,78.29
EOD/CAT,2008-03-28 00:00:00.000,77.37,76.44,78,77.09
EOD/CAT,2008-03-27 00:00:00.000,77.58,76.71,78,77.03
EOD/CAT,2008-03-26 00:00:00.000,76,75.87,77.61,77.36
EOD/CAT,2008-03-25 00:00:00.000,76.32,75.32,76.94,76.64
EOD/CAT,2008-03-24 00:00:00.000,74.06,74.06,76.5,76.03
EOD/CAT,2008-03-20 00:00:00.000,74.11,72.8,74.28,73.82
EOD/CAT,2008-03-19 00:00:00.000,76.98,73.73,77,73.73
EOD/CAT,2008-03-18 00:00:00.000,76,74.63,76.87,76.87
EOD/CAT,2008-03-17 00:00:00.000,72.87,72.51,75.22,74.46
EOD/CAT,2008-03-14 00:00:00.000,76.5,73.48,76.8,74.79
EOD/CAT,2008-03-13 00:00:00.000,74.27,73.33,76.05,75.67
EOD/CAT,2008-03-12 00:00:00.000,73.76,73.75,76.64,75.25
EOD/CAT,2008-03-11 00:00:00.000,69.52,69.52,72.73,72.61
EOD/CAT,2008-03-10 00:00:00.000,70,68.3,70.31,68.72
EOD/CAT,2008-03-07 00:00:00.000,70.04,68.9,71.11,69.84
EOD/CAT,2008-03-06 00:00:00.000,71.64,70.64,71.84,70.75
EOD/CAT,2008-03-05 00:00:00.000,71.67,70.89,72.77,71.85
EOD/CAT,2008-03-04 00:00:00.000,72.67,70.47,72.88,71.74
EOD/CAT,2008-03-03 00:00:00.000,73.13,72.1,73.61,73.2
EOD/CAT,2008-02-29 00:00:00.000,73.81,72,74.34,72.33
EOD/CAT,2008-02-28 00:00:00.000,73.83,73.15,74.7,74.39
EOD/CAT,2008-02-27 00:00:00.000,73,72.53,75.19,74.22
EOD/CAT,2008-02-26 00:00:00.000,72,71.78,73.76,73.3
EOD/CAT,2008-02-25 00:00:00.000,71.25,70.63,72.33,72.25
EOD/CAT,2008-02-22 00:00:00.000,70.95,69.82,71.65,71.18
EOD/CAT,2008-02-21 00:00:00.000,71.7,70.55,72.18,70.79
EOD/CAT,2008-02-20 00:00:00.000,69.93,69.46,71.5,71.25
EOD/CAT,2008-02-19 00:00:00.000,70.42,69.86,71.11,70.4
EOD/CAT,2008-02-15 00:00:00.000,70.33,69.18,70.34,69.95
